_id,route,route_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
19768,39,39 - BROOKLINE,Collier,Bus,8/1/23,202308,WEEKDAY,0.7622,Clever
19769,4,4 - TROY HILL,Ross,Bus,8/1/23,202308,SAT.,0.6311,Clever
19770,4,4 - TROY HILL,Ross,Bus,8/1/23,202308,SUN.,0.5512,Clever
19771,4,4 - TROY HILL,Ross,Bus,8/1/23,202308,WEEKDAY,0.7658,Clever
19772,40,40 - MOUNT WASHINGTON,Ross,Bus,8/1/23,202308,SAT.,0.7448,Clever
19773,40,40 - MOUNT WASHINGTON,Ross,Bus,8/1/23,202308,SUN.,0.784,Clever
19774,40,40 - MOUNT WASHINGTON,Ross,Bus,8/1/23,202308,WEEKDAY,0.7851,Clever
19775,41,41 - BOWER HILL,Collier,Bus,8/1/23,202308,SAT.,0.8747,Clever
19776,41,41 - BOWER HILL,Collier,Bus,8/1/23,202308,SUN.,0.7903,Clever
19777,41,41 - BOWER HILL,Collier,Bus,8/1/23,202308,WEEKDAY,0.7537,Clever
19778,43,43 - BAILEY,Collier,Bus,8/1/23,202308,SAT.,0.7657,Clever
19779,43,43 - BAILEY,Collier,Bus,8/1/23,202308,SUN.,0.7387,Clever
19780,43,43 - BAILEY,Collier,Bus,8/1/23,202308,WEEKDAY,0.7891,Clever
19781,44,44 - VIA KNOXVILLE,Collier,Bus,8/1/23,202308,SAT.,0.7199,Clever
19782,44,44 - VIA KNOXVILLE,Collier,Bus,8/1/23,202308,SUN.,0.7624,Clever
19783,44,44 - VIA KNOXVILLE,Collier,Bus,8/1/23,202308,WEEKDAY,0.6993,Clever
19784,48,48 - ARLINGTON,Collier,Bus,8/1/23,202308,SAT.,0.7026,Clever
19785,48,48 - ARLINGTON,Collier,Bus,8/1/23,202308,SUN.,0.762,Clever
19786,48,48 - ARLINGTON,Collier,Bus,8/1/23,202308,WEEKDAY,0.7282,Clever
19787,51,51 - CARRICK,West Mifflin,Bus,8/1/23,202308,SAT.,0.5792,Clever
19788,51,51 - CARRICK,West Mifflin,Bus,8/1/23,202308,SUN.,0.6329,Clever
19789,51,51 - CARRICK,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6966,Clever
19790,51L,51L - CARRICK LIMITED,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6994,Clever
19791,52L,52L - HOMEVILLE LIMITED,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6647,Clever
19792,53,53 - HOMESTEAD PARK,West Mifflin,Bus,8/1/23,202308,SAT.,0.673,Clever
19793,53,53 - HOMESTEAD PARK,West Mifflin,Bus,8/1/23,202308,SUN.,0.6862,Clever
19794,53L,53L - HOMESTEAD PARK LIMITED,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6235,Clever
19795,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,8/1/23,202308,SAT.,0.5923,Clever
19796,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,8/1/23,202308,SUN.,0.5695,Clever
19797,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,8/1/23,202308,WEEKDAY,0.6867,Clever
19798,55,55 - GLASSPORT,West Mifflin,Bus,8/1/23,202308,SAT.,0.7419,Clever
19799,55,55 - GLASSPORT,West Mifflin,Bus,8/1/23,202308,SUN.,0.7027,Clever
19800,55,55 - GLASSPORT,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6845,Clever
19801,56,56 - LINCOLN PLACE,West Mifflin,Bus,8/1/23,202308,SAT.,0.816,Clever
19802,56,56 - LINCOLN PLACE,West Mifflin,Bus,8/1/23,202308,SUN.,0.731,Clever
19803,56,56 - LINCOLN PLACE,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6815,Clever
19804,57,57 - HAZELWOOD,West Mifflin,Bus,8/1/23,202308,SAT.,0.6647,Clever
19805,57,57 - HAZELWOOD,West Mifflin,Bus,8/1/23,202308,SUN.,0.6746,Clever
19806,57,57 - HAZELWOOD,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6212,Clever
19807,58,58 - GREENFIELD,East Liberty,Bus,8/1/23,202308,SAT.,0.6053,Clever
